,Fundamentals,RSI Reco,SMA Reco,Risk
AAPL,Sell,Sell,Sell,High Risk
GOOG,Sell,Buy,Sell,High Risk
AMZN,Sell,Sell,Buy,High Risk
TSLA,Sell,Sell,Sell,High Risk
FB,Sell,Sell,Sell,High Risk
NVDA,Sell,Sell,Sell,High Risk
XOM,Buy,Sell,Sell,High Risk
JPM,Buy,Buy,Sell,High Risk
CVX,Buy,Sell,Sell,High Risk
BAC,Sell,Sell,Sell,High Risk
