Date,Open,High,Low,Close,Volume_base,Volume_quote,compound,positive,negative,neutral,comp_score
2022-05-23 00:00:00,2897.64,2899.72,2888.5,2890.09,15.4361,44682.16312,0.5574,0.194,0.073,0.733,1
2022-05-23 00:15:00,2889.77,2901.52,2884.71,2899.59,20.9878,60773.794404,0.5574,0.194,0.073,0.733,1
2022-05-23 00:30:00,2901.25,2907.83,2876.62,2877.01,17.2164,49810.159499,0.5574,0.194,0.073,0.733,1
2022-05-23 00:45:00,2877.62,2880.73,2875.71,2878.94,7.1218,20498.136978,0.5574,0.194,0.073,0.733,1
2022-05-23 01:00:00,2878.61,2882.21,2876.34,2879.14,8.5415,24586.643166,0.5574,0.194,0.073,0.733,1
2022-05-23 01:15:00,2878.56,2878.67,2863.26,2865.31,11.3964,32676.481618,0.5574,0.194,0.073,0.733,1
2022-05-23 01:30:00,2865.05,2871.29,2861.85,2871.08,11.7682,33725.033562,0.5574,0.194,0.073,0.733,1
2022-05-23 01:45:00,2869.56,2872.02,2864.36,2866.53,6.5751,18854.080864,0.5574,0.194,0.073,0.733,1
2022-05-23 02:00:00,2866.54,2871.37,2866.47,2868.26,20.9493,60118.648051,0.5574,0.194,0.073,0.733,1
2022-05-23 02:15:00,2868.8,2870.41,2855.25,2855.25,42.369,121255.536783,0.5574,0.194,0.073,0.733,1
2022-05-23 02:30:00,2857.72,2863.0,2854.32,2856.63,37.944,108537.112594,0.5574,0.194,0.073,0.733,1
2022-05-23 02:45:00,2856.18,2860.96,2850.64,2857.07,55.0695,157269.432004,0.5574,0.194,0.073,0.733,1
2022-05-23 03:00:00,2857.69,2863.91,2857.69,2861.97,48.0057,137390.688201,0.5574,0.194,0.073,0.733,1
2022-05-23 03:15:00,2861.74,2867.78,2861.74,2866.02,29.9395,85751.60202,0.5574,0.194,0.073,0.733,1
2022-05-23 03:30:00,2865.53,2868.36,2859.37,2864.06,57.8904,165807.937352,0.5574,0.194,0.073,0.733,1
2022-05-23 03:45:00,2862.51,2867.68,2861.52,2864.76,20.5871,58968.268587,0.5574,0.194,0.073,0.733,1
2022-05-23 04:00:00,2864.43,2865.86,2861.95,2864.29,38.7501,110953.251308,0.5574,0.194,0.073,0.733,1
2022-05-23 04:15:00,2863.59,2873.12,2861.5,2869.26,12.664,36337.319973,0.5574,0.194,0.073,0.733,1
2022-05-23 04:30:00,2869.36,2872.83,2868.36,2869.58,22.3504,64154.784596,0.5574,0.194,0.073,0.733,1
2022-05-23 04:45:00,2869.21,2870.01,2861.63,2862.74,6.3538,18209.912108,0.5574,0.194,0.073,0.733,1
2022-05-23 05:00:00,2862.87,2863.2,2856.45,2858.63,7.8088,22326.944326,0.5574,0.194,0.073,0.733,1
2022-05-23 05:15:00,2859.52,2864.04,2856.3,2861.74,7.6199,21795.762976,0.5574,0.194,0.073,0.733,1
2022-05-23 05:30:00,2862.85,2866.64,2859.92,2864.27,19.2268,55062.512261,0.5574,0.194,0.073,0.733,1
2022-05-23 05:45:00,2863.8,2867.28,2859.87,2862.94,60.7532,173916.582502,0.5574,0.194,0.073,0.733,1
2022-05-23 06:00:00,2862.5,2871.47,2862.23,2869.9,106.0842,303898.536599,0.4404,0.151,0.055,0.794,1
2022-05-23 06:15:00,2870.62,2882.0,2865.6,2879.07,29.488,84757.568359,0.4404,0.151,0.055,0.794,1
2022-05-23 06:30:00,2881.37,2884.74,2876.56,2880.73,13.1269,37806.29428,0.4404,0.151,0.055,0.794,1
2022-05-23 06:45:00,2880.84,2896.34,2878.64,2895.44,55.4941,160272.884313,0.4404,0.151,0.055,0.794,1
2022-05-23 07:00:00,2893.56,2894.88,2890.12,2893.09,16.2209,46913.207898,0.4404,0.151,0.055,0.794,1
2022-05-23 07:15:00,2893.41,2895.23,2883.71,2888.11,131.955,381471.587998,0.4404,0.151,0.055,0.794,1
2022-05-23 07:30:00,2889.18,2921.91,2887.59,2914.95,69.9782,203247.6232,0.4404,0.151,0.055,0.794,1
2022-05-23 07:45:00,2912.48,2925.82,2912.44,2915.42,23.2568,67907.059145,0.4404,0.151,0.055,0.794,1
2022-05-23 08:00:00,2914.11,2914.11,2907.71,2910.64,16.3116,47480.400261,0.4404,0.151,0.055,0.794,1
2022-05-23 08:15:00,2910.6,2919.27,2907.42,2907.81,34.3954,100242.652623,0.4404,0.151,0.055,0.794,1
